"Scenario","Difficulty","Hawthorne","Quality1","Quality2","Method","statistic","true_value","coverage_rate","mean_ci_width","nominal_coverage"
"s25","Difficult",0,"A","A","row","err_rate",0.12101587181643,0.62,0.0333035612647655,0.95
"s25","Difficult",0,"A","A","row","inc_rate",0.508813157190848,0.355,0.035541429873655,0.95
"s26","Difficult",0,"B","B","cset","err_rate",0.173143392872534,0.8,0.0672246081516364,0.95
"s26","Difficult",0,"B","B","cset","inc_rate",0.60424007465813,0.82,0.103191879935639,0.95
"s26","Difficult",0,"B","B","examiner","err_rate",0.172622605677706,0.89,0.0829588314539255,0.95
"s26","Difficult",0,"B","B","examiner","inc_rate",0.604808227388194,0.78,0.0976646509634948,0.95
"s26","Difficult",0,"B","B","row","err_rate",0.173232365632636,0.595,0.0431692522083147,0.95
"s26","Difficult",0,"B","B","row","inc_rate",0.606771583610217,0.41,0.0350104573848482,0.95
"s27","Difficult",0,"C","C","cset","err_rate",0.234552821273782,0.835,0.0997609758749857,0.95
"s27","Difficult",0,"C","C","cset","inc_rate",0.68562651270886,0.85,0.105403236484185,0.95
"s27","Difficult",0,"C","C","examiner","err_rate",0.234963002719698,0.805,0.101054654210956,0.95
"s27","Difficult",0,"C","C","examiner","inc_rate",0.684818962069577,0.74,0.0843933368365599,0.95
"s27","Difficult",0,"C","C","row","err_rate",0.235237695132722,0.565,0.0548553042968326,0.95
"s27","Difficult",0,"C","C","row","inc_rate",0.686124744172731,0.325,0.0332580860589996,0.95
"s28","Difficult",0,"C","D","cset","err_rate",0.240701925313963,0.825,0.106350084093121,0.95
"s28","Difficult",0,"C","D","cset","inc_rate",0.717668402538742,0.84,0.10395615226678,0.95
"s28","Difficult",0,"C","D","examiner","err_rate",0.240111266887923,0.825,0.104510058504456,0.95
"s28","Difficult",0,"C","D","examiner","inc_rate",0.718388159873615,0.72,0.0787103796584775,0.95
"s28","Difficult",0,"C","D","row","err_rate",0.240570894613812,0.57,0.0578349822803569,0.95
"s28","Difficult",0,"C","D","row","inc_rate",0.718836120778156,0.32,0.0322736654948082,0.95
"s29","Difficult",0.2,"A","A","cset","err_rate",0.119772757974392,0.75,0.046596559171205,0.95
"s29","Difficult",0.2,"A","A","cset","inc_rate",0.526981676366326,0.815,0.0995624817313557,0.95
"s29","Difficult",0.2,"A","A","examiner","err_rate",0.119844523805727,0.88,0.0653031781649553,0.95
"s29","Difficult",0.2,"A","A","examiner","inc_rate",0.525760159833287,0.815,0.103540844109095,0.95
"s29","Difficult",0.2,"A","A","row","err_rate",0.119452244599135,0.565,0.0337883393161484,0.95
"s29","Difficult",0.2,"A","A","row","inc_rate",0.527979730039415,0.375,0.0355818465432566,0.95
"s30","Difficult",0.2,"B","B","cset","err_rate",0.171816547039846,0.82,0.0681481920990361,0.95
"s30","Difficult",0.2,"B","B","cset","inc_rate",0.619343585159244,0.815,0.103495646474619,0.95
"s30","Difficult",0.2,"B","B","examiner","err_rate",0.171127333509892,0.895,0.0843677527346607,0.95
"s30","Difficult",0.2,"B","B","examiner","inc_rate",0.619043119112291,0.775,0.0956464370694516,0.95
"s30","Difficult",0.2,"B","B","row","err_rate",0.171984517464957,0.62,0.0439125257611649,0.95
"s30","Difficult",0.2,"B","B","row","inc_rate",0.619989470463587,0.415,0.0346912571162701,0.95
"s31","Difficult",0.2,"C","C","cset","err_rate",0.232319000937979,0.82,0.101208843974965,0.95
"s31","Difficult",0.2,"C","C","cset","inc_rate",0.698219575438488,0.845,0.104646928500447,0.95
"s31","Difficult",0.2,"C","C","examiner","err_rate",0.232848266526025,0.815,0.101883031724492,0.95
"s31","Difficult",0.2,"C","C","examiner","inc_rate",0.698435260900357,0.735,0.0821475873176437,0.95
"s31","Difficult",0.2,"C","C","row","err_rate",0.232972956347236,0.575,0.0554775033967582,0.95
"s31","Difficult",0.2,"C","C","row","inc_rate",0.698204223590905,0.305,0.032794484843281,0.95
"s32","Difficult",0.2,"C","D","cset","err_rate",0.236017097320943,0.82,0.108626942044465,0.95
"s32","Difficult",0.2,"C","D","cset","inc_rate",0.728685057748356,0.85,0.103997401291121,0.95
"s32","Difficult",0.2,"C","D","examiner","err_rate",0.236578525482351,0.8,0.10390196806928,0.95
"s32","Difficult",0.2,"C","D","examiner","inc_rate",0.728378933866486,0.715,0.0762119726848101,0.95
"s32","Difficult",0.2,"C","D","row","err_rate",0.232561076641383,0.575,0.0588883522668973,0.95
"s32","Difficult",0.2,"C","D","row","inc_rate",0.727822941171485,0.315,0.0317579401356388,0.95
"s33","Difficult",0.5,"A","A","cset","err_rate",0.117049897811613,0.79,0.0477211000439389,0.95
"s33","Difficult",0.5,"A","A","cset","inc_rate",0.548773817172245,0.815,0.100706720246528,0.95
"s33","Difficult",0.5,"A","A","examiner","err_rate",0.117750451286238,0.88,0.0642492428301423,0.95
"s33","Difficult",0.5,"A","A","examiner","inc_rate",0.548310881177705,0.8,0.102494202689835,0.95
"s33","Difficult",0.5,"A","A","row","err_rate",0.117082445611974,0.615,0.0342336839232966,0.95
"s33","Difficult",0.5,"A","A","row","inc_rate",0.549654428352314,0.39,0.035558078270603,0.95
"s34","Difficult",0.5,"B","B","cset","err_rate",0.16784374315049,0.815,0.0692499371179934,0.95
"s34","Difficult",0.5,"B","B","cset","inc_rate",0.638423803301153,0.82,0.103352530288106,0.95
"s34","Difficult",0.5,"B","B","examiner","err_rate",0.167384892337924,0.87,0.0828579065856028,0.95
"s34","Difficult",0.5,"B","B","examiner","inc_rate",0.639077686053759,0.765,0.0931595459138644,0.95
"s34","Difficult",0.5,"B","B","row","err_rate",0.168441797752573,0.595,0.044715842497394,0.95
"s34","Difficult",0.5,"B","B","row","inc_rate",0.640181746558979,0.42,0.0344156977226172,0.95
"s35","Difficult",0.5,"C","C","cset","err_rate",0.225848444233216,0.81,0.102337223669918,0.95
"s35","Difficult",0.5,"C","C","cset","inc_rate",0.714114183587294,0.845,0.10357124331735,0.95
"s35","Difficult",0.5,"C","C","examiner","err_rate",0.225174307931061,0.835,0.103015103125661,0.95
"s35","Difficult",0.5,"C","C","examiner","inc_rate",0.713147591333113,0.715,0.0790651230710153,0.95
"s35","Difficult",0.5,"C","C","row","err_rate",0.228505213262076,0.59,0.0567207834945439,0.95
"s35","Difficult",0.5,"C","C","row","inc_rate",0.717416415367037,0.3,0.0321975217656309,0.95
"s36","Difficult",0.5,"C","D","cset","err_rate",0.229696376880766,0.84,0.110823372200149,0.95
"s36","Difficult",0.5,"C","D","cset","inc_rate",0.744780320444221,0.855,0.103290611563149,0.95
"s36","Difficult",0.5,"C","D","examiner","err_rate",0.2289315173365,0.84,0.104293674901319,0.95
"s36","Difficult",0.5,"C","D","examiner","inc_rate",0.743172423979789,0.695,0.0735017091629664,0.95
"s36","Difficult",0.5,"C","D","row","err_rate",0.230596897258309,0.565,0.0601715892794312,0.95
